uid,label,chi,start,end 
sim_100_47,0,"[[ 46.   1. 269.]
 [ 47.   3. 271.]
 [ 48.   4. 272.]
 ...
 [298. 261. 528.]
 [299. 262. 529.]
 [300. 262. 531.]]",[  1. 269.],[262. 531.]
sim_100_48,0,"[[0.000e+00 9.570e+02 4.140e+02]
 [1.000e+00 9.590e+02 4.160e+02]
 [2.000e+00 9.600e+02 4.170e+02]
 ...
 [6.300e+01 1.023e+03 4.800e+02]
 [6.400e+01 1.023e+03 4.810e+02]
 [6.500e+01 1.024e+03 4.820e+02]]",[957. 414.],[1024.  482.]
sim_100_49,0,"[[  0. 491. 234.]
 [  1. 491. 234.]
 [  2. 492. 236.]
 ...
 [298. 787. 541.]
 [299. 788. 541.]
 [300. 789. 543.]]",[491. 234.],[789. 543.]
sim_100_50,0,"[[  0. 701. 213.]
 [  1. 702. 214.]
 [  2. 702. 216.]
 ...
 [298. 990. 525.]
 [299. 991. 526.]
 [300. 991. 527.]]",[701. 213.],[991. 527.]
sim_100_51,0,"[[1.640e+02 1.000e+00 9.790e+02]
 [1.650e+02 2.000e+00 9.810e+02]
 [1.660e+02 4.000e+00 9.820e+02]
 ...
 [2.060e+02 4.000e+01 1.023e+03]
 [2.070e+02 4.100e+01 1.023e+03]
 [2.080e+02 4.100e+01 1.023e+03]]",[  1. 979.],[  41. 1023.]
sim_100_52,0,"[[0.000e+00 7.440e+02 9.540e+02]
 [1.000e+00 7.440e+02 9.550e+02]
 [2.000e+00 7.450e+02 9.560e+02]
 ...
 [6.100e+01 8.100e+02 1.020e+03]
 [6.200e+01 8.100e+02 1.021e+03]
 [6.300e+01 8.110e+02 1.023e+03]]",[744. 954.],[ 811. 1023.]
sim_100_53,0,"[[201. 300.   1.]
 [202. 301.   2.]
 [203. 301.   3.]
 ...
 [298. 400.  96.]
 [299. 401.  97.]
 [300. 402.  98.]]",[300.   1.],[402.  98.]
sim_100_54,0,"[[  0. 251. 304.]
 [  1. 252. 305.]
 [  2. 253. 306.]
 ...
 [298. 552. 612.]
 [299. 553. 613.]
 [300. 555. 613.]]",[251. 304.],[555. 613.]
sim_100_55,0,"[[180. 659.   0.]
 [181. 660.   1.]
 [182. 661.   2.]
 ...
 [298. 783. 112.]
 [299. 785. 114.]
 [300. 786. 115.]]",[659.   0.],[786. 115.]
sim_100_56,0,"[[0.000e+00 9.130e+02 1.800e+01]
 [1.000e+00 9.130e+02 1.800e+01]
 [2.000e+00 9.150e+02 1.900e+01]
 ...
 [1.030e+02 1.022e+03 1.230e+02]
 [1.040e+02 1.023e+03 1.230e+02]
 [1.050e+02 1.024e+03 1.240e+02]]",[913.  18.],[1024.  124.]
sim_100_57,0,"[[0.000e+00 7.860e+02 4.300e+01]
 [1.000e+00 7.870e+02 4.400e+01]
 [2.000e+00 7.870e+02 4.500e+01]
 ...
 [2.340e+02 1.021e+03 2.840e+02]
 [2.350e+02 1.022e+03 2.850e+02]
 [2.360e+02 1.024e+03 2.870e+02]]",[786.  43.],[1024.  287.]
sim_100_58,0,"[[0.000e+00 8.990e+02 9.630e+02]
 [1.000e+00 9.010e+02 9.640e+02]
 [2.000e+00 9.010e+02 9.650e+02]
 ...
 [6.100e+01 9.620e+02 1.021e+03]
 [6.200e+01 9.630e+02 1.023e+03]
 [6.300e+01 9.640e+02 1.024e+03]]",[899. 963.],[ 964. 1024.]
sim_100_59,0,"[[  0. 250. 658.]
 [  1. 251. 659.]
 [  2. 251. 660.]
 ...
 [298. 564. 956.]
 [299. 565. 956.]
 [300. 566. 957.]]",[250. 658.],[566. 957.]
sim_100_60,0,"[[182. 757.   1.]
 [183. 758.   2.]
 [184. 759.   4.]
 ...
 [298. 872. 121.]
 [299. 873. 122.]
 [300. 874. 123.]]",[757.   1.],[874. 123.]
sim_100_61,0,"[[0.000e+00 9.550e+02 6.880e+02]
 [1.000e+00 9.560e+02 6.900e+02]
 [2.000e+00 9.570e+02 6.910e+02]
 ...
 [7.100e+01 1.023e+03 7.610e+02]
 [7.200e+01 1.023e+03 7.610e+02]
 [7.300e+01 1.024e+03 7.620e+02]]",[955. 688.],[1024.  762.]
sim_101_0,1,"[[0.000e+00 9.530e+02 2.000e+02]
 [1.000e+00 9.560e+02 2.010e+02]
 [2.000e+00 9.590e+02 2.040e+02]
 ...
 [1.270e+02 1.018e+03 3.540e+02]
 [1.280e+02 1.021e+03 3.560e+02]
 [1.290e+02 1.023e+03 3.570e+02]]",[953. 200.],[1023.  357.]
sim_101_1,1,"[[ 13.   0. 433.]
 [ 14.   1. 431.]
 [ 15.   2. 431.]
 [ 16.   3. 430.]
 [ 17.   2. 430.]
 [ 18.   0. 432.]]",[  0. 433.],[  0. 432.]
sim_101_2,1,"[[0.000e+00 2.210e+02 5.660e+02]
 [1.000e+00 2.210e+02 5.670e+02]
 [2.000e+00 2.210e+02 5.680e+02]
 ...
 [2.760e+02 3.660e+02 1.021e+03]
 [2.770e+02 3.630e+02 1.021e+03]
 [2.780e+02 3.600e+02 1.023e+03]]",[221. 566.],[ 360. 1023.]
sim_101_3,1,"[[0.000e+00 9.360e+02 4.250e+02]
 [1.000e+00 9.390e+02 4.240e+02]
 [2.000e+00 9.390e+02 4.240e+02]
 ...
 [2.970e+02 1.012e+03 4.310e+02]
 [2.980e+02 1.015e+03 4.320e+02]
 [2.990e+02 1.019e+03 4.340e+02]]",[936. 425.],[1019.  434.]
sim_101_4,1,"[[0.000e+00 8.760e+02 7.670e+02]
 [1.000e+00 8.760e+02 7.680e+02]
 [2.000e+00 8.750e+02 7.690e+02]
 ...
 [8.700e+01 9.840e+02 1.011e+03]
 [8.800e+01 9.840e+02 1.017e+03]
 [8.900e+01 9.830e+02 1.022e+03]]",[876. 767.],[ 983. 1022.]
sim_101_5,1,"[[ 73.  22.   2.]
 [ 74.  26.   4.]
 [ 75.  28.   5.]
 ...
 [298. 408. 460.]
 [299. 408. 459.]
 [300. 410. 458.]]",[22.  2.],[410. 458.]
sim_101_6,1,"[[1.600e+01 1.001e+03 1.000e+00]
 [1.700e+01 1.002e+03 5.000e+00]
 [1.800e+01 1.004e+03 7.000e+00]
 ...
 [2.100e+01 1.012e+03 7.000e+00]
 [2.200e+01 1.015e+03 6.000e+00]
 [2.300e+01 1.017e+03 2.000e+00]]",[1.001e+03 1.000e+00],[1017.    2.]
sim_101_7,1,"[[  0. 305. 576.]
 [  1. 306. 577.]
 [  2. 306. 578.]
 ...
 [298. 621. 688.]
 [299. 624. 686.]
 [300. 627. 681.]]",[305. 576.],[627. 681.]
sim_101_8,1,"[[0.000e+00 7.780e+02 2.710e+02]
 [1.000e+00 7.780e+02 2.730e+02]
 [2.000e+00 7.780e+02 2.750e+02]
 ...
 [2.020e+02 1.011e+03 4.360e+02]
 [2.030e+02 1.016e+03 4.360e+02]
 [2.040e+02 1.020e+03 4.360e+02]]",[778. 271.],[1020.  436.]
sim_101_9,1,"[[  0.  31.  68.]
 [  1.  33.  71.]
 [  2.  35.  74.]
 ...
 [257.   9. 476.]
 [258.   6. 482.]
 [259.   2. 486.]]",[31. 68.],[  2. 486.]
sim_101_10,1,"[[  0. 370.  56.]
 [  1. 371.  57.]
 [  2. 371.  57.]
 ...
 [298. 426. 241.]
 [299. 423. 240.]
 [300. 421. 239.]]",[370.  56.],[421. 239.]
sim_101_11,1,"[[116.   2. 397.]
 [117.   5. 400.]
 [118.   7. 403.]
 ...
 [142.   8. 437.]
 [143.   6. 439.]
 [144.   2. 444.]]",[  2. 397.],[  2. 444.]
sim_101_12,1,"[[0.000e+00 4.850e+02 2.890e+02]
 [1.000e+00 4.860e+02 2.900e+02]
 [2.000e+00 4.860e+02 2.910e+02]
 ...
 [2.780e+02 1.016e+03 4.740e+02]
 [2.790e+02 1.020e+03 4.790e+02]
 [2.800e+02 1.024e+03 4.840e+02]]",[485. 289.],[1024.  484.]
sim_101_13,1,"[[  0.  29.  97.]
 [  1.  32.  98.]
 [  2.  33.  97.]
 ...
 [ 29.   6. 133.]
 [ 30.   5. 134.]
 [ 31.   2. 136.]]",[29. 97.],[  2. 136.]
sim_101_14,1,"[[0.000e+00 8.640e+02 9.710e+02]
 [1.000e+00 8.660e+02 9.710e+02]
 [2.000e+00 8.660e+02 9.720e+02]
 ...
 [6.500e+01 1.016e+03 1.009e+03]
 [6.600e+01 1.019e+03 1.009e+03]
 [6.700e+01 1.021e+03 1.009e+03]]",[864. 971.],[1021. 1009.]
sim_101_15,1,"[[0.000e+00 5.540e+02 9.250e+02]
 [1.000e+00 5.550e+02 9.260e+02]
 [2.000e+00 5.560e+02 9.270e+02]
 ...
 [2.900e+01 5.970e+02 1.015e+03]
 [3.000e+01 5.990e+02 1.019e+03]
 [3.100e+01 6.020e+02 1.023e+03]]",[554. 925.],[ 602. 1023.]
sim_101_16,1,"[[0.000e+00 4.710e+02 4.300e+02]
 [1.000e+00 4.750e+02 4.290e+02]
 [2.000e+00 4.780e+02 4.290e+02]
 ...
 [2.960e+02 1.016e+03 4.440e+02]
 [2.970e+02 1.018e+03 4.410e+02]
 [2.980e+02 1.021e+03 4.410e+02]]",[471. 430.],[1021.  441.]
sim_101_17,1,"[[0.000e+00 7.770e+02 9.600e+01]
 [1.000e+00 7.760e+02 9.700e+01]
 [2.000e+00 7.750e+02 9.800e+01]
 ...
 [2.280e+02 1.018e+03 4.030e+02]
 [2.290e+02 1.021e+03 4.070e+02]
 [2.300e+02 1.024e+03 4.090e+02]]",[777.  96.],[1024.  409.]
sim_101_18,1,"[[  0. 405. 502.]
 [  1. 407. 504.]
 [  2. 408. 505.]
 ...
 [298. 711. 772.]
 [299. 710. 771.]
 [300. 709. 771.]]",[405. 502.],[709. 771.]
sim_101_19,1,"[[0.000e+00 1.500e+02 7.530e+02]
 [1.000e+00 1.520e+02 7.560e+02]
 [2.000e+00 1.530e+02 7.590e+02]
 ...
 [1.240e+02 2.290e+02 1.007e+03]
 [1.250e+02 2.310e+02 1.013e+03]
 [1.260e+02 2.340e+02 1.020e+03]]",[150. 753.],[ 234. 1020.]
sim_101_20,1,"[[  0. 318. 179.]
 [  1. 318. 180.]
 [  2. 320. 181.]
 ...
 [298. 869. 516.]
 [299. 871. 518.]
 [300. 872. 521.]]",[318. 179.],[872. 521.]
sim_101_21,1,"[[  0. 629. 101.]
 [  1. 630. 103.]
 [  2. 631. 103.]
 ...
 [298. 495. 501.]
 [299. 494. 501.]
 [300. 492. 501.]]",[629. 101.],[492. 501.]
sim_101_22,1,"[[0.000e+00 4.010e+02 8.210e+02]
 [1.000e+00 4.020e+02 8.230e+02]
 [2.000e+00 4.020e+02 8.260e+02]
 ...
 [1.050e+02 3.950e+02 1.010e+03]
 [1.060e+02 3.950e+02 1.016e+03]
 [1.070e+02 3.960e+02 1.022e+03]]",[401. 821.],[ 396. 1022.]
sim_101_23,1,"[[  0. 240. 214.]
 [  1. 241. 216.]
 [  2. 243. 217.]
 ...
 [298. 485. 457.]
 [299. 487. 460.]
 [300. 491. 464.]]",[240. 214.],[491. 464.]
sim_101_24,1,"[[  31.    4.  958.]
 [  32.    9.  958.]
 [  33.   14.  957.]
 ...
 [ 161.  292. 1017.]
 [ 162.  294. 1020.]
 [ 163.  298. 1023.]]",[  4. 958.],[ 298. 1023.]
sim_101_25,1,"[[0.000e+00 3.820e+02 9.780e+02]
 [1.000e+00 3.830e+02 9.810e+02]
 [2.000e+00 3.850e+02 9.840e+02]
 ...
 [7.400e+01 4.050e+02 1.016e+03]
 [7.500e+01 4.050e+02 1.019e+03]
 [7.600e+01 4.050e+02 1.022e+03]]",[382. 978.],[ 405. 1022.]
sim_101_26,1,"[[0.000e+00 8.230e+02 6.720e+02]
 [1.000e+00 8.240e+02 6.730e+02]
 [2.000e+00 8.250e+02 6.730e+02]
 ...
 [1.860e+02 7.930e+02 1.017e+03]
 [1.870e+02 7.940e+02 1.020e+03]
 [1.880e+02 7.950e+02 1.022e+03]]",[823. 672.],[ 795. 1022.]
sim_101_27,1,"[[128.   1. 105.]
 [129.   3. 105.]
 [130.   6. 106.]
 ...
 [298. 549. 171.]
 [299. 550. 173.]
 [300. 550. 175.]]",[  1. 105.],[550. 175.]
sim_101_28,1,"[[  0. 146. 339.]
 [  1. 148. 341.]
 [  2. 149. 343.]
 ...
 [298. 629. 379.]
 [299. 628. 379.]
 [300. 628. 378.]]",[146. 339.],[628. 378.]
sim_101_29,1,"[[139.   1. 982.]
 [140.   3. 982.]
 [141.   3. 983.]
 ...
 [146.   2. 996.]
 [147.   0. 998.]
 [148.   0. 999.]]",[  1. 982.],[  0. 999.]
sim_101_30,0,"[[161.   1. 139.]
 [162.   2. 141.]
 [163.   3. 143.]
 ...
 [298. 143. 276.]
 [299. 144. 277.]
 [300. 145. 278.]]",[  1. 139.],[145. 278.]
sim_101_31,0,"[[  42.    0.  974.]
 [  43.    0.  974.]
 [  44.    2.  975.]
 ...
 [  89.   48. 1021.]
 [  90.   50. 1022.]
 [  91.   52. 1024.]]",[  0. 974.],[  52. 1024.]
sim_101_32,0,"[[  0. 144. 118.]
 [  1. 145. 120.]
 [  2. 146. 121.]
 ...
 [298. 451. 423.]
 [299. 451. 425.]
 [300. 452. 426.]]",[144. 118.],[452. 426.]
sim_101_33,0,"[[ 59. 393.   1.]
 [ 60. 394.   1.]
 [ 61. 395.   2.]
 ...
 [298. 651. 249.]
 [299. 652. 251.]
 [300. 653. 252.]]",[393.   1.],[653. 252.]
sim_101_34,0,"[[  0. 617. 103.]
 [  1. 618. 104.]
 [  2. 619. 105.]
 ...
 [298. 924. 407.]
 [299. 925. 408.]
 [300. 926. 408.]]",[617. 103.],[926. 408.]
sim_101_35,0,"[[ 22. 708.   0.]
 [ 23. 708.   2.]
 [ 24. 709.   3.]
 ...
 [298. 989. 280.]
 [299. 989. 282.]
 [300. 990. 283.]]",[708.   0.],[990. 283.]
sim_101_36,0,"[[0.000e+00 7.330e+02 1.400e+02]
 [1.000e+00 7.330e+02 1.410e+02]
 [2.000e+00 7.350e+02 1.420e+02]
 ...
 [2.900e+02 1.021e+03 4.300e+02]
 [2.910e+02 1.022e+03 4.310e+02]
 [2.920e+02 1.024e+03 4.310e+02]]",[733. 140.],[1024.  431.]
sim_101_37,0,"[[0.000e+00 7.600e+02 7.170e+02]
 [1.000e+00 7.610e+02 7.180e+02]
 [2.000e+00 7.610e+02 7.190e+02]
 ...
 [2.700e+02 1.021e+03 9.770e+02]
 [2.710e+02 1.022e+03 9.790e+02]
 [2.720e+02 1.023e+03 9.800e+02]]",[760. 717.],[1023.  980.]
sim_101_38,0,"[[  0. 608.  90.]
 [  1. 609.  91.]
 [  2. 610.  92.]
 ...
 [298. 904. 380.]
 [299. 905. 380.]
 [300. 906. 381.]]",[608.  90.],[906. 381.]
sim_101_39,0,"[[0.000e+00 5.500e+01 7.000e+02]
 [1.000e+00 5.600e+01 7.010e+02]
 [2.000e+00 5.700e+01 7.020e+02]
 ...
 [2.980e+02 3.450e+02 1.000e+03]
 [2.990e+02 3.450e+02 1.001e+03]
 [3.000e+02 3.460e+02 1.001e+03]]",[ 55. 700.],[ 346. 1001.]
sim_101_40,0,"[[2.120e+02 0.000e+00 9.680e+02]
 [2.130e+02 1.000e+00 9.690e+02]
 [2.140e+02 2.000e+00 9.700e+02]
 ...
 [2.680e+02 5.000e+01 1.021e+03]
 [2.690e+02 5.200e+01 1.022e+03]
 [2.700e+02 5.300e+01 1.022e+03]]",[  0. 968.],[  53. 1022.]
sim_101_41,0,"[[  0.  85. 390.]
 [  1.  87. 391.]
 [  2.  88. 392.]
 ...
 [298. 382. 680.]
 [299. 383. 681.]
 [300. 384. 682.]]",[ 85. 390.],[384. 682.]
sim_101_42,0,"[[0.000e+00 5.200e+02 7.880e+02]
 [1.000e+00 5.210e+02 7.890e+02]
 [2.000e+00 5.230e+02 7.890e+02]
 ...
 [2.330e+02 7.450e+02 1.020e+03]
 [2.340e+02 7.460e+02 1.021e+03]
 [2.350e+02 7.480e+02 1.023e+03]]",[520. 788.],[ 748. 1023.]
sim_101_43,0,"[[0.000e+00 5.900e+01 8.190e+02]
 [1.000e+00 5.900e+01 8.200e+02]
 [2.000e+00 6.000e+01 8.210e+02]
 ...
 [2.120e+02 2.730e+02 1.023e+03]
 [2.130e+02 2.750e+02 1.023e+03]
 [2.140e+02 2.750e+02 1.024e+03]]",[ 59. 819.],[ 275. 1024.]
sim_101_44,0,"[[  0.  81. 450.]
 [  1.  82. 452.]
 [  2.  83. 453.]
 ...
 [298. 377. 750.]
 [299. 378. 751.]
 [300. 379. 751.]]",[ 81. 450.],[379. 751.]
sim_101_45,0,"[[1.010e+02 1.000e+00 9.320e+02]
 [1.020e+02 3.000e+00 9.330e+02]
 [1.030e+02 4.000e+00 9.340e+02]
 ...
 [1.970e+02 1.010e+02 1.022e+03]
 [1.980e+02 1.020e+02 1.022e+03]
 [1.990e+02 1.040e+02 1.023e+03]]",[  1. 932.],[ 104. 1023.]
sim_101_46,0,"[[0.000e+00 9.680e+02 7.000e+01]
 [1.000e+00 9.700e+02 7.100e+01]
 [2.000e+00 9.700e+02 7.200e+01]
 ...
 [5.500e+01 1.022e+03 1.300e+02]
 [5.600e+01 1.022e+03 1.320e+02]
 [5.700e+01 1.023e+03 1.320e+02]]",[968.  70.],[1023.  132.]
sim_101_47,0,"[[  0. 680. 560.]
 [  1. 682. 561.]
 [  2. 683. 562.]
 ...
 [298. 987. 863.]
 [299. 988. 864.]
 [300. 989. 866.]]",[680. 560.],[989. 866.]
sim_101_48,0,"[[0.000e+00 1.014e+03 9.710e+02]
 [1.000e+00 1.014e+03 9.710e+02]
 [2.000e+00 1.015e+03 9.720e+02]
 ...
 [6.000e+00 1.021e+03 9.760e+02]
 [7.000e+00 1.022e+03 9.770e+02]
 [8.000e+00 1.023e+03 9.780e+02]]",[1014.  971.],[1023.  978.]
sim_101_49,0,"[[0.000e+00 9.860e+02 8.770e+02]
 [1.000e+00 9.880e+02 8.780e+02]
 [2.000e+00 9.880e+02 8.790e+02]
 ...
 [4.000e+01 1.021e+03 9.170e+02]
 [4.100e+01 1.022e+03 9.170e+02]
 [4.200e+01 1.023e+03 9.180e+02]]",[986. 877.],[1023.  918.]
sim_101_50,0,"[[0.000e+00 9.040e+02 4.200e+01]
 [1.000e+00 9.050e+02 4.400e+01]
 [2.000e+00 9.050e+02 4.500e+01]
 ...
 [1.200e+02 1.020e+03 1.660e+02]
 [1.210e+02 1.022e+03 1.680e+02]
 [1.220e+02 1.023e+03 1.690e+02]]",[904.  42.],[1023.  169.]
sim_101_51,0,"[[  0. 469.  78.]
 [  1. 469.  79.]
 [  2. 471.  79.]
 ...
 [298. 769. 369.]
 [299. 769. 370.]
 [300. 769. 371.]]",[469.  78.],[769. 371.]
sim_101_52,0,"[[0.000e+00 9.330e+02 1.001e+03]
 [1.000e+00 9.340e+02 1.002e+03]
 [2.000e+00 9.360e+02 1.003e+03]
 ...
 [1.800e+01 9.490e+02 1.022e+03]
 [1.900e+01 9.500e+02 1.023e+03]
 [2.000e+01 9.510e+02 1.024e+03]]",[ 933. 1001.],[ 951. 1024.]
sim_101_53,0,"[[103.   0. 185.]
 [104.   2. 185.]
 [105.   3. 186.]
 ...
 [298. 197. 387.]
 [299. 198. 388.]
 [300. 200. 389.]]",[  0. 185.],[200. 389.]
sim_101_54,0,"[[  0. 609. 691.]
 [  1. 610. 691.]
 [  2. 611. 692.]
 ...
 [298. 909. 981.]
 [299. 911. 982.]
 [300. 911. 984.]]",[609. 691.],[911. 984.]
sim_101_55,0,"[[4.100e+01 1.000e+00 7.660e+02]
 [4.200e+01 2.000e+00 7.670e+02]
 [4.300e+01 4.000e+00 7.670e+02]
 ...
 [2.950e+02 2.600e+02 1.023e+03]
 [2.960e+02 2.620e+02 1.023e+03]
 [2.970e+02 2.630e+02 1.024e+03]]",[  1. 766.],[ 263. 1024.]
sim_101_56,0,"[[0.000e+00 7.370e+02 3.500e+01]
 [1.000e+00 7.380e+02 3.700e+01]
 [2.000e+00 7.390e+02 3.800e+01]
 ...
 [2.770e+02 1.022e+03 3.130e+02]
 [2.780e+02 1.023e+03 3.150e+02]
 [2.790e+02 1.024e+03 3.150e+02]]",[737.  35.],[1024.  315.]
sim_101_57,0,"[[0.000e+00 9.580e+02 3.980e+02]
 [1.000e+00 9.590e+02 3.990e+02]
 [2.000e+00 9.610e+02 4.000e+02]
 ...
 [6.200e+01 1.022e+03 4.580e+02]
 [6.300e+01 1.023e+03 4.580e+02]
 [6.400e+01 1.024e+03 4.600e+02]]",[958. 398.],[1024.  460.]
sim_101_58,0,"[[160.   1. 311.]
 [161.   2. 312.]
 [162.   3. 313.]
 ...
 [298. 134. 446.]
 [299. 135. 446.]
 [300. 136. 447.]]",[  1. 311.],[136. 447.]
sim_101_59,0,"[[0.000e+00 2.670e+02 8.790e+02]
 [1.000e+00 2.680e+02 8.800e+02]
 [2.000e+00 2.690e+02 8.810e+02]
 ...
 [1.450e+02 4.180e+02 1.021e+03]
 [1.460e+02 4.190e+02 1.022e+03]
 [1.470e+02 4.200e+02 1.023e+03]]",[267. 879.],[ 420. 1023.]
sim_101_60,0,"[[  0. 300. 275.]
 [  1. 300. 276.]
 [  2. 301. 277.]
 ...
 [298. 598. 572.]
 [299. 599. 573.]
 [300. 599. 573.]]",[300. 275.],[599. 573.]
sim_101_61,0,"[[ 96. 667.   0.]
 [ 97. 668.   1.]
 [ 98. 669.   2.]
 ...
 [298. 865. 204.]
 [299. 866. 205.]
 [300. 867. 206.]]",[667.   0.],[867. 206.]
sim_101_62,0,"[[  0. 543.  68.]
 [  1. 545.  68.]
 [  2. 547.  68.]
 ...
 [298. 857. 366.]
 [299. 859. 367.]
 [300. 860. 367.]]",[543.  68.],[860. 367.]
sim_101_63,0,"[[  0. 689.  14.]
 [  1. 690.  15.]
 [  2. 692.  17.]
 ...
 [298. 985. 305.]
 [299. 986. 306.]
 [300. 987. 306.]]",[689.  14.],[987. 306.]
sim_101_64,0,"[[  0. 273. 118.]
 [  1. 274. 119.]
 [  2. 275. 121.]
 ...
 [298. 578. 411.]
 [299. 578. 412.]
 [300. 579. 412.]]",[273. 118.],[579. 412.]
sim_101_65,0,"[[0.000e+00 1.920e+02 8.410e+02]
 [1.000e+00 1.920e+02 8.420e+02]
 [2.000e+00 1.930e+02 8.430e+02]
 ...
 [1.800e+02 3.730e+02 1.021e+03]
 [1.810e+02 3.750e+02 1.023e+03]
 [1.820e+02 3.760e+02 1.024e+03]]",[192. 841.],[ 376. 1024.]
sim_102_0,1,"[[ 88.   3. 203.]
 [ 89.   7. 200.]
 [ 90.  11. 196.]
 ...
 [298. 214. 379.]
 [299. 215. 378.]
 [300. 216. 377.]]",[  3. 203.],[216. 377.]
sim_102_1,1,"[[0.000e+00 7.740e+02 1.550e+02]
 [1.000e+00 7.760e+02 1.560e+02]
 [2.000e+00 7.790e+02 1.590e+02]
 ...
 [1.060e+02 1.009e+03 2.530e+02]
 [1.070e+02 1.014e+03 2.540e+02]
 [1.080e+02 1.019e+03 2.560e+02]]",[774. 155.],[1019.  256.]
sim_102_2,1,"[[  0. 849.  56.]
 [  1. 849.  56.]
 [  2. 849.  56.]
 ...
 [298. 753. 466.]
 [299. 753. 465.]
 [300. 754. 467.]]",[849.  56.],[754. 467.]
sim_102_3,1,"[[0.000e+00 3.660e+02 7.400e+02]
 [1.000e+00 3.660e+02 7.410e+02]
 [2.000e+00 3.660e+02 7.430e+02]
 ...
 [2.250e+02 2.530e+02 1.017e+03]
 [2.260e+02 2.520e+02 1.020e+03]
 [2.270e+02 2.510e+02 1.023e+03]]",[366. 740.],[ 251. 1023.]
sim_102_4,1,"[[0.000e+00 1.630e+02 9.320e+02]
 [1.000e+00 1.650e+02 9.310e+02]
 [2.000e+00 1.670e+02 9.310e+02]
 ...
 [1.370e+02 1.020e+02 1.021e+03]
 [1.380e+02 1.020e+02 1.022e+03]
 [1.390e+02 1.020e+02 1.023e+03]]",[163. 932.],[ 102. 1023.]
sim_102_5,1,"[[  16.  704.    3.]
 [  17.  706.    5.]
 [  18.  708.    8.]
 ...
 [ 287. 1017.  331.]
 [ 288. 1021.  333.]
 [ 289. 1023.  335.]]",[704.   3.],[1023.  335.]
sim_102_6,1,"[[ 63. 198.   1.]
 [ 64. 199.   8.]
 [ 65. 199.  14.]
 ...
 [298.  95. 359.]
 [299.  95. 360.]
 [300.  95. 360.]]",[198.   1.],[ 95. 360.]
sim_102_7,1,"[[  0. 398. 190.]
 [  1. 398. 190.]
 [  2. 399. 192.]
 ...
 [298. 295. 590.]
 [299. 295. 590.]
 [300. 295. 590.]]",[398. 190.],[295. 590.]
sim_102_8,1,"[[0.000e+00 5.520e+02 3.530e+02]
 [1.000e+00 5.540e+02 3.550e+02]
 [2.000e+00 5.550e+02 3.580e+02]
 ...
 [2.890e+02 1.017e+03 6.650e+02]
 [2.900e+02 1.020e+03 6.700e+02]
 [2.910e+02 1.023e+03 6.760e+02]]",[552. 353.],[1023.  676.]
sim_102_9,1,"[[0.000e+00 1.350e+02 8.060e+02]
 [1.000e+00 1.350e+02 8.090e+02]
 [2.000e+00 1.350e+02 8.110e+02]
 ...
 [2.030e+02 1.070e+02 1.020e+03]
 [2.040e+02 1.040e+02 1.021e+03]
 [2.050e+02 1.000e+02 1.022e+03]]",[135. 806.],[ 100. 1022.]
sim_102_10,1,"[[  0. 155. 719.]
 [  1. 155. 719.]
 [  2. 157. 719.]
 ...
 [298. 556. 837.]
 [299. 558. 838.]
 [300. 562. 838.]]",[155. 719.],[562. 838.]
sim_102_11,1,"[[200.   1. 727.]
 [201.   2. 729.]
 [202.   3. 730.]
 ...
 [298. 174. 785.]
 [299. 176. 786.]
 [300. 176. 788.]]",[  1. 727.],[176. 788.]
sim_102_12,1,"[[  2.   4.   1.]
 [  3.   5.   5.]
 [  4.   6.   9.]
 ...
 [298. 295. 519.]
 [299. 293. 521.]
 [300. 293. 524.]]",[4. 1.],[293. 524.]
sim_102_13,1,"[[  0. 397. 460.]
 [  1. 398. 460.]
 [  2. 398. 462.]
 ...
 [298. 717. 714.]
 [299. 717. 716.]
 [300. 718. 718.]]",[397. 460.],[718. 718.]
sim_102_14,1,"[[  0. 766. 485.]
 [  1. 766. 487.]
 [  2. 768. 488.]
 ...
 [298. 755. 814.]
 [299. 755. 818.]
 [300. 754. 822.]]",[766. 485.],[754. 822.]
sim_102_15,1,"[[0.000e+00 8.720e+02 6.600e+01]
 [1.000e+00 8.720e+02 6.700e+01]
 [2.000e+00 8.730e+02 6.600e+01]
 ...
 [9.900e+01 1.010e+03 2.490e+02]
 [1.000e+02 1.015e+03 2.530e+02]
 [1.010e+02 1.021e+03 2.540e+02]]",[872.  66.],[1021.  254.]
sim_102_16,1,"[[107. 317.   1.]
 [108. 317.   3.]
 [109. 318.   4.]
 ...
 [298. 605. 227.]
 [299. 603. 228.]
 [300. 601. 230.]]",[317.   1.],[601. 230.]
sim_102_17,1,"[[0.000e+00 5.330e+02 7.230e+02]
 [1.000e+00 5.340e+02 7.220e+02]
 [2.000e+00 5.360e+02 7.210e+02]
 ...
 [2.930e+02 6.990e+02 1.022e+03]
 [2.940e+02 6.990e+02 1.023e+03]
 [2.950e+02 6.990e+02 1.024e+03]]",[533. 723.],[ 699. 1024.]
sim_102_18,1,"[[  71. 1023.  395.]
 [  72. 1019.  395.]
 [  73. 1016.  396.]
 ...
 [ 120. 1019.  424.]
 [ 121. 1021.  424.]
 [ 122. 1023.  423.]]",[1023.  395.],[1023.  423.]
sim_102_19,1,"[[111. 473.   3.]
 [112. 473.   8.]
 [113. 473.  12.]
 ...
 [201. 553.   9.]
 [202. 554.   4.]
 [203. 555.   1.]]",[473.   3.],[555.   1.]
